Data/Hora;Dia;Mês;Ano;Data;Hora;Baixa Tensão (kWh);Média Tensão (kWh);Alta Tensão (kWh);Muito Alta Tensão (kWh);Total (kWh)
2023-04-16T07:30:00+01:00;16;04;2023;2023-04-16;07:30;443593.279621;279808.49;202458.0804;89600.147;1015459.9970209999
2023-04-19T04:15:00+01:00;19;04;2023;2023-04-19;04:15;440055.82531;387912.7268;214135.1184;86121.0742;1128224.74471
2023-04-20T07:30:00+01:00;20;04;2023;2023-04-20;07:30;547116.023933;491750.1915;217713.1921;66500.3477;1323079.7552330003
2023-04-21T20:15:00+01:00;21;04;2023;2023-04-21;20:15;861260.612747;487829.433;211327.0967;71305.8633;1631723.005747
2023-04-25T02:30:00+01:00;25;04;2023;2023-04-25;02:30;474988.982515;321252.386;188964.8142;58639.5699;1043845.752615
2023-04-26T08:45:00+01:00;26;04;2023;2023-04-26;08:45;651214.118726;584754.118;199565.2251;62499.0418;1498032.503626
2023-04-26T15:00:00+01:00;26;04;2023;2023-04-26;15:00;664765.206696;580082.0706;189961.8027;91194.431;1526003.5109960001
2023-04-27T09:45:00+01:00;27;04;2023;2023-04-27;09:45;680012.020197;600424.1754;192887.3096;68961.7531;1542285.258297
2023-04-27T15:00:00+01:00;27;04;2023;2023-04-27;15:00;670680.477399;597937.6312;193708.2951;65673.3556;1527999.7592989998
2023-05-04T16:15:00+01:00;04;05;2023;2023-05-04;16:15;643267.093115;599921.6166;201673.7111;63207.8201;1508070.2409149997
2023-05-06T06:15:00+01:00;06;05;2023;2023-05-06;06:15;443666.931048;357068.1578;196895.997;80915.1585;1078546.2443479998
2023-05-06T12:00:00+01:00;06;05;2023;2023-05-06;12:00;740968.468123;366763.362;187428.1333;63952.0372;1359112.000623
2023-05-08T00:15:00+01:00;08;05;2023;2023-05-08;00:15;567938.305331;309493.6389;201263.7794;89445.7778;1168141.5014310002
2023-05-10T14:00:00+01:00;10;05;2023;2023-05-10;14:00;652190.264169;544297.3125;189483.0172;100195.9128;1486166.5066690003
