Ano;Mês;Data;Distrito;Concelho;Freguesia;Inclui contador inteligente;Número de CPE's;Código Distrito;Código Concelho;Código Freguesia;Contrato Ativo
2024;9;2024-09;Guarda;Vila Nova de Foz Côa;Horta;Não;14;09;0914;091407;Sim
2024;9;2024-09;Viseu;Vila Nova de Paiva;Vila Cova à Coelheira;Não;9;18;1822;182206;Sim
2024;9;2024-09;Setúbal;Palmela;Pinhal Novo;Sim;15790;15;1508;150803;Sim
2024;9;2024-09;Braga;Vila Nova de Famalicão;Esmeriz e Cabeçudos;Sim;1702;03;0312;031254;Sim
2024;9;2024-09;Santarém;Ourém;Nossa Senhora da Piedade;Sim;5318;14;1421;142115;Sim
2024;9;2024-09;Vila Real;Chaves;Nogueira da Montanha;Sim;414;17;1703;170318;Sim
2024;9;2024-09;Guarda;Aguiar da Beira;Eirado;Sim;205;09;0901;090106;Sim
2024;9;2024-09;Guarda;Pinhel;Vale do Côa;Sim;314;09;0910;091033;Sim
2024;9;2024-09;Setúbal;Alcácer do Sal;São Martinho;Sim;284;15;1501;150105;Sim
2024;9;2024-09;Lisboa;Mafra;Azueira e Sobral da Abelheira;Não;71;11;1109;110918;Sim
2024;9;2024-09;Porto;Vila do Conde;Vilar de Pinheiro;Não;43;13;1316;131630;Sim
2024;9;2024-09;Leiria;Peniche;Ferrel;Não;4;10;1014;101406;Sim
2024;9;2024-09;Guarda;Trancoso;Valdujo;Não;8;09;0913;091325;Sim
2024;9;2024-09;Castelo Branco;Covilhã;Peso e Vales do Rio;Sim;945;05;0503;050336;Sim
2024;9;2024-09;Viana do Castelo;Viana do Castelo;Mazarefes e Vila Fria;Sim;1350;16;1609;160944;Sim
2024;9;2024-09;Braga;Vila Nova de Famalicão;Vermoim;Sim;1517;03;0312;031247;Sim
2024;9;2024-09;Castelo Branco;Oleiros;Orvalho;Sim;464;05;0506;050609;Sim
2024;9;2024-09;Vila Real;Montalegre;Outeiro;Sim;146;17;1706;170619;Sim
2024;9;2024-09;Braga;Fafe;Freitas e Vila Cova;Sim;480;03;0307;030742;Sim
2024;9;2024-09;Porto;Vila do Conde;Bagunte, Ferreiró, Outeiro Maior e Parada;Não;233;13;1316;131631;Sim
2024;9;2024-09;Beja;Cuba;Faro do Alentejo;Não;1;02;0207;020702;Sim
2024;9;2024-09;Guarda;Pinhel;Agregação das freguesias Sul de Pinhel;Não;9;09;0910;091028;Sim
