Trimestre;Distrito;Concelho;Freguesias;Escalão de potência instalada (kW);Número de instalacões;Potência total instalada UPAC (kW);Código Distrito;Código Concelho;Código Freguesia
2023T1;Viseu;Sernancelhe;Ferreirim  e Macieira;]0, 4];8;15.79;18;1818;181818
2023T1;Viseu;Sernancelhe;Penso e Freixinho;]0, 4];5;6.05;18;1818;181820
2023T1;Viseu;Sernancelhe;Penso e Freixinho;]4, 20.7];1;5.0;18;1818;181820
2023T1;Beja;Serpa;Serpa (Salvador e Santa Maria);]20.7, 30];5;143.92;02;0213;021308
2023T1;Beja;Serpa;Serpa (Salvador e Santa Maria);]30, 1000];5;1564.91;02;0213;021308
2023T1;Beja;Serpa;Pias;]4, 20.7];2;36.18;02;0213;021303
2023T1;Castelo Branco;Sertã;Castelo;]0, 4];16;29.72;05;0509;050903
2023T1;Castelo Branco;Sertã;Pedrógão Pequeno;]0, 4];19;28.1;05;0509;050911
2023T1;Castelo Branco;Sertã;Sertã;]0, 4];95;132.98;05;0509;050912
2023T1;Castelo Branco;Sertã;Ermida e Figueiredo;]0, 4];5;4.61;05;0509;050917
2023T1;Castelo Branco;Sertã;Cernache do Bonjardim, Nesperal e Palhais;]20.7, 30];1;29.96;05;0509;050915
2023T1;Castelo Branco;Sertã;Cumeada e Marmeleiro;]30, 1000];1;34.96;05;0509;050916
2023T1;Setúbal;Sesimbra;Quinta do Conde;]0, 4];1124;1084.93;15;1511;151103
2023T1;Setúbal;Sesimbra;Sesimbra (Santiago);]4, 20.7];3;20.99;15;1511;151102
2023T1;Setúbal;Sesimbra;Quinta do Conde;]4, 20.7];7;67.82;15;1511;151103
2023T1;Setúbal;Setúbal;Sado;]0, 4];198;189.56;15;1512;151208
2023T1;Setúbal;Setúbal;Azeitão (São Lourenço e São Simão);]0, 4];1256;1781.28;15;1512;151209
2023T1;Setúbal;Setúbal;Setúbal (São Sebastião);]30, 1000];5;748.66;15;1512;151205
2023T1;Setúbal;Setúbal;Gâmbia-Pontes-Alto da Guerra;]30, 1000];4;197.31;15;1512;151207
2023T1;Setúbal;Setúbal;Sado;]30, 1000];3;1516.01;15;1512;151208
2023T1;Setúbal;Setúbal;S. Julião, N. S. da Anunciada e S. Maria da Graça;]30, 1000];4;436.31;15;1512;151210
2023T1;Setúbal;Setúbal;Azeitão (São Lourenço e São Simão);]4, 20.7];28;185.65;15;1512;151209
2023T1;Aveiro;Sever do Vouga;Sever do Vouga;]0, 4];26;42.19;01;0117;011706
2023T1;Aveiro;Sever do Vouga;Cedrim e Paradela;]0, 4];30;48.24;01;0117;011710
2023T1;Aveiro;Sever do Vouga;Sever do Vouga;]30, 1000];3;529.81;01;0117;011706
2023T1;Aveiro;Sever do Vouga;Talhadas;]30, 1000];1;35.7;01;0117;011708
2023T1;Aveiro;Sever do Vouga;Pessegueiro do Vouga;]4, 20.7];2;20.0;01;0117;011704
2023T1;Aveiro;Sever do Vouga;Talhadas;]4, 20.7];1;5.18;01;0117;011708
2023T1;Faro;Silves;Alcantarilha e Pêra;]0, 4];126;204.14;08;0813;081309
2023T1;Faro;Silves;Silves;]20.7, 30];5;123.97;08;0813;081307
2023T1;Faro;Silves;Algoz e Tunes;]30, 1000];6;1113.8;08;0813;081310
2023T1;Faro;Silves;Armação de Pêra;]4, 20.7];3;31.86;08;0813;081303
2023T1;Faro;Silves;São Bartolomeu de Messines;]4, 20.7];24;230.15;08;0813;081305
2023T1;Faro;Silves;São Marcos da Serra;]4, 20.7];1;5.46;08;0813;081306
2023T1;Lisboa;Sintra;Colares;]0, 4];162;268.32;11;1111;111105
2023T1;Lisboa;Sintra;Rio de Mouro;]0, 4];375;452.33;11;1111;111108
2023T1;Lisboa;Sintra;Queluz e Belas;]0, 4];244;322.43;11;1111;111126
2023T1;Lisboa;Sintra;Casal de Cambra;]20.7, 30];1;25.0;11;1111;111115
2023T1;Lisboa;Sintra;Massamá e Monte Abraão;]20.7, 30];1;29.9;11;1111;111125
2023T1;Lisboa;Sintra;Colares;]30, 1000];1;115.2;11;1111;111105
2023T1;Lisboa;Sintra;Casal de Cambra;]30, 1000];2;243.1;11;1111;111115
2023T1;Lisboa;Sintra;Agualva e Mira-Sintra;]30, 1000];2;254.54;11;1111;111122
2023T1;Lisboa;Sintra;Almargem do Bispo, Pêro Pinheiro e Montelavar;]30, 1000];14;1396.8;11;1111;111123
2023T1;Lisboa;Sintra;Cacém e São Marcos;]30, 1000];7;638.2;11;1111;111124
2023T1;Lisboa;Sintra;Massamá e Monte Abraão;]30, 1000];3;311.29;11;1111;111125
2023T1;Lisboa;Sintra;Agualva e Mira-Sintra;]4, 20.7];2;19.72;11;1111;111122
2023T1;Lisboa;Sintra;Cacém e São Marcos;]4, 20.7];5;61.88;11;1111;111124
2023T1;Lisboa;Sintra;Massamá e Monte Abraão;]4, 20.7];2;32.5;11;1111;111125
2023T1;Lisboa;Sintra;São João das Lampas e Terrugem;]4, 20.7];25;195.24;11;1111;111127
2023T1;Vila Real;Valpaços;Possacos;]0, 4];10;21.12;17;1712;171216
2023T1;Vila Real;Valpaços;Santa Maria de Emeres;]0, 4];6;9.18;17;1712;171219
2023T1;Vila Real;Valpaços;Santa Valha;]0, 4];10;7.55;17;1712;171220
2023T1;Vila Real;Valpaços;São Pedro de Veiga de Lila;]0, 4];6;5.63;17;1712;171223
2023T1;Vila Real;Valpaços;Vales;]0, 4];13;14.56;17;1712;171227
2023T1;Vila Real;Valpaços;Vassal;]0, 4];14;24.97;17;1712;171229
2023T1;Vila Real;Valpaços;Carrazedo de Montenegro e Curros;]0, 4];31;61.8;17;1712;171232
2023T1;Vila Real;Valpaços;Tinhela e Alvarelhos;]0, 4];8;10.58;17;1712;171235
2023T1;Vila Real;Valpaços;Valpaços e Sanfins;]20.7, 30];1;30.0;17;1712;171236
2023T1;Vila Real;Valpaços;São João da Corveira;]30, 1000];1;50.16;17;1712;171222
2023T1;Vila Real;Valpaços;Água Revés e Crasto;]4, 20.7];1;8.0;17;1712;171201
2023T1;Vila Real;Valpaços;Santa Maria de Emeres;]4, 20.7];1;4.6;17;1712;171219
2023T1;Vila Real;Valpaços;Sonim e Barreiros;]4, 20.7];1;17.98;17;1712;171234
2023T1;Évora;Vendas Novas;Landeira;]0, 4];16;20.02;07;0712;071202
2023T1;Évora;Vendas Novas;Vendas Novas;]30, 1000];12;2062.27;07;0712;071201
2023T1;Évora;Viana do Alentejo;Alcáçovas;]0, 4];32;39.68;07;0713;071301
2023T1;Évora;Viana do Alentejo;Alcáçovas;]30, 1000];2;176.4;07;0713;071301
2023T1;Évora;Viana do Alentejo;Viana do Alentejo;]30, 1000];3;234.46;07;0713;071302
2023T1;Évora;Viana do Alentejo;Viana do Alentejo;]4, 20.7];4;30.13;07;0713;071302
2023T1;Viana do Castelo;Viana do Castelo;Alvarães;]0, 4];47;67.35;16;1609;160902
2023T1;Viana do Castelo;Viana do Castelo;Freixieiro de Soutelo;]0, 4];11;21.86;16;1609;160914
2023T1;Viana do Castelo;Viana do Castelo;São Romão de Neiva;]0, 4];19;30.55;16;1609;160923
2023T1;Viana do Castelo;Viana do Castelo;Perre;]0, 4];68;120.64;16;1609;160926
2023T1;Viana do Castelo;Viana do Castelo;Cardielos e Serreleis;]0, 4];61;110.92;16;1609;160942
2023T1;Viana do Castelo;Viana do Castelo;Geraz do Lima (S. Maria, S. Leocádia, Moreira), Deão;]0, 4];54;92.27;16;1609;160943
2023T1;Viana do Castelo;Viana do Castelo;Nogueira, Meixedo e Vilar de Murteda;]0, 4];24;46.56;16;1609;160945
2023T1;Viana do Castelo;Viana do Castelo;Subportela, Deocriste e Portela Susã;]0, 4];23;27.17;16;1609;160946
2023T1;Viana do Castelo;Viana do Castelo;Santa Maria Maior e Monserrate e Meadela;]0, 4];233;393.55;16;1609;160948
2023T1;Viana do Castelo;Viana do Castelo;Darque;]20.7, 30];1;22.14;16;1609;160911
2023T1;Viana do Castelo;Viana do Castelo;Lanheses;]20.7, 30];1;25.0;16;1609;160915
2023T1;Viana do Castelo;Viana do Castelo;Nogueira, Meixedo e Vilar de Murteda;]20.7, 30];1;29.92;16;1609;160945
2023T1;Viana do Castelo;Viana do Castelo;Areosa;]30, 1000];1;357.12;16;1609;160905
2023T1;Viana do Castelo;Viana do Castelo;Santa Maria Maior e Monserrate e Meadela;]30, 1000];3;303.12;16;1609;160948
2023T1;Viana do Castelo;Viana do Castelo;Alvarães;]4, 20.7];1;6.24;16;1609;160902
2023T1;Viana do Castelo;Viana do Castelo;Carreço;]4, 20.7];2;17.9;16;1609;160908
2023T1;Viana do Castelo;Viana do Castelo;Darque;]4, 20.7];4;19.59;16;1609;160911
2023T1;Viana do Castelo;Viana do Castelo;Lanheses;]4, 20.7];2;22.55;16;1609;160915
2023T1;Viana do Castelo;Viana do Castelo;Perre;]4, 20.7];2;15.0;16;1609;160926
2023T1;Viana do Castelo;Viana do Castelo;Vila Franca;]4, 20.7];1;10.0;16;1609;160935
2023T1;Viana do Castelo;Viana do Castelo;Cardielos e Serreleis;]4, 20.7];3;46.82;16;1609;160942
2023T1;Viana do Castelo;Viana do Castelo;Nogueira, Meixedo e Vilar de Murteda;]4, 20.7];1;5.0;16;1609;160945
2023T1;Beja;Vidigueira;Vidigueira;]0, 4];53;53.13;02;0214;021403
2023T1;Beja;Vidigueira;Vila de Frades;]0, 4];12;14.05;02;0214;021404
2023T1;Beja;Vidigueira;Selmes;]4, 20.7];2;25.37;02;0214;021402
2023T1;Beja;Vidigueira;Vidigueira;]4, 20.7];1;18.8;02;0214;021403
2023T1;Braga;Vieira do Minho;Cantelães;]0, 4];9;13.6;03;0311;031105
2023T1;Braga;Vieira do Minho;Eira Vedra;]0, 4];13;17.81;03;0311;031107
2023T1;Braga;Vieira do Minho;Guilhofrei;]0, 4];31;35.79;03;0311;031108
2023T1;Braga;Vieira do Minho;Louredo;]0, 4];11;23.57;03;0311;031109
2023T1;Braga;Vieira do Minho;Salamonde;]0, 4];4;7.35;03;0311;031115
2023T1;Braga;Vieira do Minho;Tabuaças;]0, 4];20;31.38;03;0311;031118
2023T1;Braga;Vieira do Minho;Caniçada e Soengas;]0, 4];4;5.87;03;0311;031124
2023T1;Braga;Vieira do Minho;Ruivães e Campos;]0, 4];4;6.27;03;0311;031125
2023T1;Braga;Vieira do Minho;Anjos e Vilar do Chão;]4, 20.7];1;6.0;03;0311;031123
2023T1;Castelo Branco;Vila de Rei;Fundada;]0, 4];7;5.63;05;0510;051001
2023T1;Faro;Vila do Bispo;Barão de São Miguel;]0, 4];13;26.52;08;0815;081501
2023T1;Faro;Vila do Bispo;Budens;]0, 4];39;75.41;08;0815;081502
2023T1;Faro;Vila do Bispo;Barão de São Miguel;]4, 20.7];2;14.7;08;0815;081501
2023T1;Faro;Vila do Bispo;Sagres;]4, 20.7];5;41.02;08;0815;081504
2023T1;Porto;Vila do Conde;Árvore;]0, 4];124;172.31;13;1316;131602
2023T1;Porto;Vila do Conde;Modivas;]0, 4];32;49.8;13;1316;131617
2023T1;Porto;Vila do Conde;Vila do Conde;]0, 4];111;161.07;13;1316;131628
2023T1;Porto;Vila do Conde;Fornelo e Vairão;]0, 4];33;46.35;13;1316;131632
2023T1;Porto;Vila do Conde;Retorta e Tougues;]0, 4];41;55.54;13;1316;131634
2023T1;Porto;Vila do Conde;Vilar e Mosteiró;]0, 4];39;63.81;13;1316;131637
2023T1;Porto;Vila do Conde;Labruge;]20.7, 30];1;30.0;13;1316;131613
2023T1;Porto;Vila do Conde;Malta e Canidelo;]20.7, 30];1;21.4;13;1316;131633
2023T1;Porto;Vila do Conde;Rio Mau e Arcos;]20.7, 30];2;50.69;13;1316;131635
2023T1;Porto;Vila do Conde;Touguinha e Touguinhó;]20.7, 30];2;55.22;13;1316;131636
2023T1;Porto;Vila do Conde;Guilhabreu;]30, 1000];3;225.48;13;1316;131611
2023T1;Porto;Vila do Conde;Macieira da Maia;]30, 1000];3;330.24;13;1316;131614
2023T1;Porto;Vila do Conde;Vila do Conde;]30, 1000];3;199.24;13;1316;131628
2023T1;Porto;Vila do Conde;Bagunte, Ferreiró, Outeiro Maior e Parada;]30, 1000];2;116.04;13;1316;131631
2023T1;Porto;Vila do Conde;Malta e Canidelo;]30, 1000];1;249.75;13;1316;131633
2023T1;Porto;Vila do Conde;Rio Mau e Arcos;]30, 1000];5;437.22;13;1316;131635
2023T1;Porto;Vila do Conde;Azurara;]4, 20.7];3;33.35;13;1316;131604
2023T1;Porto;Vila do Conde;Vila Chã;]4, 20.7];1;19.08;13;1316;131627
2023T1;Porto;Vila do Conde;Fornelo e Vairão;]4, 20.7];2;10.75;13;1316;131632
2023T1;Porto;Vila do Conde;Malta e Canidelo;]4, 20.7];1;11.7;13;1316;131633
2023T1;Porto;Vila do Conde;Rio Mau e Arcos;]4, 20.7];7;78.42;13;1316;131635
2023T1;Porto;Vila do Conde;Vilar e Mosteiró;]4, 20.7];5;63.52;13;1316;131637
2023T1;Bragança;Vila Flor;Benlhevai;]0, 4];1;1.44;04;0410;041002
2023T1;Bragança;Vila Flor;Freixiel;]0, 4];7;5.49;04;0410;041005
2023T1;Bragança;Vila Flor;Samões;]0, 4];4;6.92;04;0410;041010
2023T1;Bragança;Vila Flor;Seixo de Manhoses;]0, 4];2;3.41;04;0410;041013
2023T1;Bragança;Vila Flor;Vale Frechoso;]0, 4];2;2.58;04;0410;041015
2023T1;Bragança;Vila Flor;Candoso e Carvalho de Egas;]0, 4];2;3.43;04;0410;041021
2023T1;Bragança;Vila Flor;Vila Flor e Nabo;]0, 4];18;24.38;04;0410;041023
2023T1;Bragança;Vila Flor;Assares e Lodões;]30, 1000];2;77.5;04;0410;041020
2023T1;Bragança;Vila Flor;Vilas Boas e Vilarinho das Azenhas;]30, 1000];1;341.12;04;0410;041024
2023T1;Bragança;Vila Flor;Samões;]4, 20.7];1;6.0;04;0410;041010
2023T1;Lisboa;Vila Franca de Xira;Vialonga;]0, 4];109;124.98;11;1114;111408
2023T1;Lisboa;Vila Franca de Xira;Vila Franca de Xira;]0, 4];96;131.98;11;1114;111409
2023T1;Lisboa;Vila Franca de Xira;Alverca do Ribatejo e Sobralinho;]0, 4];163;207.69;11;1114;111413
2023T1;Lisboa;Vila Franca de Xira;Castanheira do Ribatejo e Cachoeiras;]20.7, 30];1;28.34;11;1114;111414
2023T1;Lisboa;Vila Franca de Xira;Póvoa de Santa Iria e Forte da Casa;]20.7, 30];1;26.19;11;1114;111415
2023T1;Lisboa;Vila Franca de Xira;Alverca do Ribatejo e Sobralinho;]30, 1000];5;1511.69;11;1114;111413
2023T1;Lisboa;Vila Franca de Xira;Vila Franca de Xira;]4, 20.7];4;30.32;11;1114;111409
2023T1;Lisboa;Vila Franca de Xira;Alhandra, São João dos Montes e Calhandriz;]4, 20.7];2;24.55;11;1114;111412
2023T1;Lisboa;Vila Franca de Xira;Póvoa de Santa Iria e Forte da Casa;]4, 20.7];6;33.42;11;1114;111415
2023T1;Santarém;Vila Nova da Barquinha;Atalaia;]0, 4];76;78.92;14;1420;142001
2023T1;Santarém;Vila Nova da Barquinha;Atalaia;]30, 1000];1;55.0;14;1420;142001
2023T1;Santarém;Vila Nova da Barquinha;Atalaia;]4, 20.7];2;37.28;14;1420;142001
2023T1;Viana do Castelo;Vila Nova de Cerveira;Cornes;]0, 4];7;10.22;16;1610;161003
2023T1;Viana do Castelo;Vila Nova de Cerveira;Vila Nova de Cerveira e Lovelhe;]0, 4];25;40.14;16;1610;161019
2023T1;Viana do Castelo;Vila Nova de Cerveira;Campos e Vila Meã;]30, 1000];2;584.42;16;1610;161016
2023T1;Viana do Castelo;Vila Nova de Cerveira;Gondarém;]4, 20.7];1;4.44;16;1610;161006
2023T1;Viana do Castelo;Vila Nova de Cerveira;Sopo;]4, 20.7];1;5.5;16;1610;161013
2023T1;Viana do Castelo;Vila Nova de Cerveira;Campos e Vila Meã;]4, 20.7];3;41.4;16;1610;161016
2023T1;Braga;Vila Nova de Famalicão;Brufe;]0, 4];55;79.5;03;0312;031206
2023T1;Braga;Vila Nova de Famalicão;Delães;]0, 4];77;87.41;03;0312;031213
2023T1;Braga;Vila Nova de Famalicão;Fradelos;]0, 4];147;185.1;03;0312;031215
2023T1;Braga;Vila Nova de Famalicão;Mogege;]0, 4];64;69.91;03;0312;031225
2023T1;Braga;Vila Nova de Famalicão;Riba de Ave;]0, 4];58;72.01;03;0312;031234
2023T1;Braga;Vila Nova de Famalicão;Oliveira (Santa Maria);]0, 4];87;105.48;03;0312;031239
2023T1;Braga;Vila Nova de Famalicão;Vilarinho das Cambas;]0, 4];38;37.4;03;0312;031249
2023T1;Braga;Vila Nova de Famalicão;Arnoso (Santa Maria e Santa Eulália) e Sezures;]0, 4];75;107.56;03;0312;031251
2023T1;Braga;Vila Nova de Famalicão;Carreira e Bente;]0, 4];12;18.5;03;0312;031253
2023T1;Braga;Vila Nova de Famalicão;Seide;]0, 4];24;30.1;03;0312;031258
2023T1;Braga;Vila Nova de Famalicão;Vale (São Cosme), Telhado e Portela;]0, 4];290;303.28;03;0312;031259
2023T1;Braga;Vila Nova de Famalicão;Vila Nova de Famalicão e Calendário;]0, 4];276;313.92;03;0312;031260
2023T1;Braga;Vila Nova de Famalicão;Fradelos;]20.7, 30];1;21.6;03;0312;031215
2023T1;Braga;Vila Nova de Famalicão;Oliveira (Santa Maria);]20.7, 30];1;24.2;03;0312;031239
2023T1;Braga;Vila Nova de Famalicão;Joane;]30, 1000];1;47.04;03;0312;031219
2023T1;Braga;Vila Nova de Famalicão;Louro;]30, 1000];1;117.6;03;0312;031223
2023T1;Braga;Vila Nova de Famalicão;Lousado;]30, 1000];5;2999.48;03;0312;031224
2023T1;Braga;Vila Nova de Famalicão;Pedome;]30, 1000];3;1563.78;03;0312;031230
2023T1;Braga;Vila Nova de Famalicão;Requião;]30, 1000];1;77.0;03;0312;031233
2023T1;Braga;Vila Nova de Famalicão;Vale (São Martinho);]30, 1000];1;163.71;03;0312;031241
2023T1;Braga;Vila Nova de Famalicão;Antas e Abade de Vermoim;]30, 1000];4;357.4;03;0312;031250
2023T1;Braga;Vila Nova de Famalicão;Arnoso (Santa Maria e Santa Eulália) e Sezures;]30, 1000];2;266.92;03;0312;031251
2023T1;Braga;Vila Nova de Famalicão;Avidos e Lagoa;]30, 1000];1;84.24;03;0312;031252
2023T1;Braga;Vila Nova de Famalicão;Carreira e Bente;]30, 1000];2;725.19;03;0312;031253
2023T1;Braga;Vila Nova de Famalicão;Castelões;]4, 20.7];2;12.6;03;0312;031210
2023T1;Braga;Vila Nova de Famalicão;Gavião;]4, 20.7];9;80.11;03;0312;031216
2023T1;Braga;Vila Nova de Famalicão;Joane;]4, 20.7];10;90.41;03;0312;031219
2023T1;Braga;Vila Nova de Famalicão;Landim;]4, 20.7];1;10.01;03;0312;031221
2023T1;Braga;Vila Nova de Famalicão;Pousada de Saramagos;]4, 20.7];1;20.0;03;0312;031232
2023T1;Braga;Vila Nova de Famalicão;Requião;]4, 20.7];2;16.0;03;0312;031233
2023T1;Braga;Vila Nova de Famalicão;Riba de Ave;]4, 20.7];2;13.41;03;0312;031234
2023T1;Braga;Vila Nova de Famalicão;Oliveira (Santa Maria);]4, 20.7];2;30.87;03;0312;031239
2023T1;Braga;Vila Nova de Famalicão;Avidos e Lagoa;]4, 20.7];6;62.0;03;0312;031252
2023T1;Braga;Vila Nova de Famalicão;Gondifelos, Cavalões e Outiz;]4, 20.7];1;15.0;03;0312;031255
2023T1;Braga;Vila Nova de Famalicão;Vale (São Cosme), Telhado e Portela;]4, 20.7];11;166.15;03;0312;031259
2023T1;Guarda;Vila Nova de Foz Côa;Castelo Melhor;]0, 4];2;3.22;09;0914;091402
2023T1;Guarda;Vila Nova de Foz Côa;Sebadelhe;]0, 4];2;2.55;09;0914;091414
2023T1;Guarda;Vila Nova de Foz Côa;Seixas;]0, 4];1;0.75;09;0914;091415
2023T1;Beja;Alvito;Alvito;]30, 1000];1;151.25;02;0203;020301
2023T1;Beja;Alvito;Alvito;]4, 20.7];1;5.13;02;0203;020301
2023T1;Beja;Alvito;Vila Nova da Baronia;]4, 20.7];1;5.0;02;0203;020302
2023T1;Lisboa;Amadora;Mina de Água;]20.7, 30];1;23.36;11;1115;111516
2023T1;Lisboa;Amadora;Águas Livres;]30, 1000];1;64.13;11;1115;111513
2023T1;Lisboa;Amadora;Mina de Água;]30, 1000];2;157.67;11;1115;111516
2023T1;Lisboa;Amadora;Águas Livres;]4, 20.7];1;16.02;11;1115;111513
2023T1;Lisboa;Amadora;Mina de Água;]4, 20.7];1;6.21;11;1115;111516
2023T1;Porto;Amarante;Candemil;]0, 4];5;3.68;13;1301;130107
2023T1;Porto;Amarante;Fregim;]0, 4];39;45.28;13;1301;130112
2023T1;Porto;Amarante;Fridão;]0, 4];13;12.44;13;1301;130115
2023T1;Porto;Amarante;Jazente;]0, 4];4;5.44;13;1301;130118
2023T1;Porto;Amarante;Lomba;]0, 4];20;27.84;13;1301;130119
2023T1;Porto;Amarante;Louredo;]0, 4];4;3.08;13;1301;130120
2023T1;Porto;Amarante;Mancelos;]0, 4];56;86.35;13;1301;130123
2023T1;Porto;Amarante;Gouveia (São Simão);]0, 4];10;20.61;13;1301;130134
2023T1;Porto;Amarante;Amarante (São Gonçalo), Madalena, Cepelos e Gatão;]0, 4];138;231.33;13;1301;130142
2023T1;Porto;Amarante;Bustelo, Carneiro e Carvalho de Rei;]0, 4];8;8.11;13;1301;130143
2023T1;Porto;Amarante;Olo e Canadelo;]0, 4];4;6.64;13;1301;130146
2023T1;Porto;Amarante;Lomba;]20.7, 30];1;24.75;13;1301;130119
2023T1;Porto;Amarante;Lufrei;]30, 1000];1;69.35;13;1301;130121
2023T1;Porto;Amarante;Telões;]30, 1000];1;50.16;13;1301;130135
2023T1;Porto;Amarante;Louredo;]4, 20.7];2;10.45;13;1301;130120
2023T1;Porto;Amarante;Mancelos;]4, 20.7];2;13.08;13;1301;130123
2023T1;Porto;Amarante;Padronelo;]4, 20.7];1;20.0;13;1301;130126
2023T1;Porto;Amarante;Figueiró (Santiago e Santa Cristina);]4, 20.7];7;89.49;13;1301;130144
2023T1;Porto;Amarante;Vila Garcia, Aboim e Chapa;]4, 20.7];3;22.72;13;1301;130148
2023T1;Braga;Amares;Caires;]0, 4];12;18.06;03;0301;030105
2023T1;Braga;Amares;Fiscal;]0, 4];19;26.05;03;0301;030111
2023T1;Braga;Amares;Rendufe;]0, 4];31;40.78;03;0301;030118
2023T1;Braga;Amares;Bouro (Santa Marta);]0, 4];9;7.14;03;0301;030120
2023T1;Braga;Amares;Torre e Portela;]0, 4];17;30.47;03;0301;030128
2023T1;Braga;Amares;Vilela, Seramil e Paredes Secas;]0, 4];8;12.29;03;0301;030129
2023T1;Braga;Amares;Dornelas;]4, 20.7];1;5.0;03;0301;030108
2023T1;Braga;Amares;Caldelas, Sequeiros e Paranhos;]4, 20.7];3;29.8;03;0301;030126
2023T1;Aveiro;Anadia;Avelãs de Caminho;]0, 4];13;14.64;01;0103;010304
2023T1;Aveiro;Anadia;Vilarinho do Bairro;]0, 4];52;82.36;01;0103;010313
2023T1;Aveiro;Anadia;Vilarinho do Bairro;]30, 1000];1;57.0;01;0103;010313
2023T1;Aveiro;Anadia;Sangalhos;]4, 20.7];4;36.8;01;0103;010309
2023T1;Aveiro;Anadia;São Lourenço do Bairro;]4, 20.7];1;5.0;01;0103;010310
2023T1;Aveiro;Anadia;Amoreira da Gândara, Paredes do Bairro e Ancas;]4, 20.7];1;6.3;01;0103;010316
2023T1;Leiria;Ansião;Avelar;]0, 4];29;30.16;10;1003;100303
2023T1;Leiria;Ansião;Pousaflores;]0, 4];6;10.55;10;1003;100306
2023T1;Leiria;Ansião;Alvorge;]30, 1000];1;46.2;10;1003;100301
2023T1;Viana do Castelo;Arcos de Valdevez;Cabreiro;]0, 4];2;1.38;16;1601;160106
2023T1;Viana do Castelo;Arcos de Valdevez;Couto;]0, 4];17;23.62;16;1601;160109
2023T1;Viana do Castelo;Arcos de Valdevez;Monte Redondo;]0, 4];2;1.05;16;1601;160122
2023T1;Viana do Castelo;Arcos de Valdevez;Jolda (São Paio);]0, 4];6;16.8;16;1601;160142
2023T1;Viana do Castelo;Arcos de Valdevez;Senharei;]0, 4];2;4.5;16;1601;160144
2023T1;Viana do Castelo;Arcos de Valdevez;Alvora e Loureda;]0, 4];9;15.38;16;1601;160152
2023T1;Viana do Castelo;Arcos de Valdevez;Guilhadeses e Santar;]0, 4];16;30.88;16;1601;160157
2023T1;Viana do Castelo;Arcos de Valdevez;Jolda (Madalena) e Rio Cabrão;]0, 4];6;4.62;16;1601;160158
2023T1;Viana do Castelo;Arcos de Valdevez;Padreiro (Salvador e Santa Cristina);]0, 4];4;6.3;16;1601;160159
2023T1;Viana do Castelo;Arcos de Valdevez;Vilela, São Cosme e São Damião e Sá;]0, 4];10;13.85;16;1601;160164
2023T1;Viana do Castelo;Arcos de Valdevez;Aguiã;]4, 20.7];1;6.24;16;1601;160102
2023T1;Viana do Castelo;Arcos de Valdevez;Cendufe;]4, 20.7];1;4.14;16;1601;160108
2023T1;Viana do Castelo;Arcos de Valdevez;Jolda (São Paio);]4, 20.7];2;17.19;16;1601;160142
2023T1;Viana do Castelo;Arcos de Valdevez;Padreiro (Salvador e Santa Cristina);]4, 20.7];1;12.75;16;1601;160159
2023T1;Viana do Castelo;Arcos de Valdevez;Souto e Tabaçô;]4, 20.7];1;5.46;16;1601;160162
2023T1;Coimbra;Arganil;Benfeita;]0, 4];5;9.29;06;0601;060104
2023T1;Coimbra;Arganil;Pomares;]0, 4];6;7.12;06;0601;060112
2023T1;Coimbra;Arganil;Pombeiro da Beira;]0, 4];25;38.38;06;0601;060113
2023T1;Coimbra;Arganil;Cerdeira e Moura da Serra;]0, 4];2;6.05;06;0601;060120
2023T1;Coimbra;Arganil;Arganil;]4, 20.7];1;11.1;06;0601;060102
2023T1;Coimbra;Arganil;Secarias;]4, 20.7];1;16.9;06;0601;060116
2023T1;Viseu;Armamar;Aldeias;]0, 4];11;17.18;18;1801;180101
2023T1;Viseu;Armamar;Folgosa;]0, 4];9;12.55;18;1801;180106
2023T1;Viseu;Armamar;Fontelo;]0, 4];8;9.02;18;1801;180107
2023T1;Viseu;Armamar;Queimada;]0, 4];7;9.01;18;1801;180109
2023T1;Viseu;Armamar;Santa Cruz;]0, 4];2;1.02;18;1801;180111
2023T1;Viseu;Armamar;São Cosmado;]0, 4];3;4.75;18;1801;180114
2023T1;Viseu;Armamar;Armamar;]0, 4];28;40.38;18;1801;180120
2023T1;Viseu;Armamar;Vila Seca e Santo Adrião;]0, 4];6;6.07;18;1801;180123
2023T1;Viseu;Armamar;Folgosa;]30, 1000];1;34.56;18;1801;180106
2023T1;Viseu;Armamar;Armamar;]4, 20.7];2;23.81;18;1801;180120
2023T1;Aveiro;Arouca;Alvarenga;]0, 4];10;13.28;01;0104;010402
2023T1;Aveiro;Arouca;Chave;]0, 4];11;17.96;01;0104;010407
2023T1;Aveiro;Arouca;Santa Eulália;]0, 4];19;36.02;01;0104;010416
2023T1;Aveiro;Arouca;Urrô;]0, 4];10;14.05;01;0104;010419
2023T1;Aveiro;Arouca;Canelas e Espiunca;]0, 4];3;2.93;01;0104;010423
2023T1;Aveiro;Arouca;Mansores;]30, 1000];5;535.32;01;0104;010413
2023T1;Aveiro;Arouca;Santa Eulália;]30, 1000];1;43.05;01;0104;010416
2023T1;Aveiro;Arouca;Escariz;]4, 20.7];2;19.54;01;0104;010409
2023T1;Évora;Arraiolos;Igrejinha;]0, 4];19;30.88;07;0702;070202
2023T1;Évora;Arraiolos;São Gregório e Santa Justa;]0, 4];12;12.52;07;0702;070209
